Spell Name,Type,Pronunciation,Description,Seen/Mentioned
Aberto (Opening Charm)[],Charm,Ah-bare-toh,A spell used to open doors; it is probably related to Alohamora.[1],N/A
Accio (Summoning Charm)[],N/A,N/A,N/A,N/A
(Age Line)[],Charm,N/A,Prevents people above or below a certain age from access to a target.,"Used by Albus Dumbledore to stop underage students from entering their names into the Goblet of Fire. Also seen when Fred and George Weasley attempted to circumvent it with Ageing Potions, and ended up in the Hospital Wing with fine white beards, along with other students who tried similar tactics.[3]"
Aguamenti (Water-Making Spell)[],N/A,N/A,N/A,N/A
Alarte Ascendare[],N/A,N/A,N/A,N/A
(Albus Dumbledore's forceful spell)[],Spell,N/A,"This spell was, supposedly, quite powerful as when it was cast, the opponent was forced to conjure a silver shield to deflect it.[6]","It was used by Dumbledore in the Ministry of Magic, immediately following the Battle of the Department of Mysteries on 17 June, 1996, while he duelled Voldemort.[6]"
Alohomora (Unlocking Charm)[],Charm,ah-LOH-ho-MOR-ah,"Unlocks doors and other locked objects.[7] It can also unlock doors that have been sealed with a Locking Spell, although it is possible to bewitch doors to become unaffected by this spell.","Used by Hermione Granger in 1991 to allow her and her friends to access the Third-floor corridor at her school, which was at the time forbidden;[7] she used it again two years later to free Sirius's cell in her teacher's prison room.[8]"
Alohomora Duo[],Charm,ah-LOH-ho-MOR-ah DOO-oh,A more powerful version of Alohomora.,N/A
(Altering Spell)[],Transfiguration,N/A,Transformed the physical form or colour of objects.,N/A
Amato Animo Animato Animagus (Animagus Spell)[],Transfiguration,ah-MAH-toh ah-NEE-moh ah-nee-MAH-toh an-a-MAY-jus,"Spell used as part of the process of becoming an Animagus. The incantation has to be recited at sunrise and sundown, every day before the consumption of the Animagus Potion. The incantation is also recited just prior to the consumption of the potion, which has to take place just after a lightning storm starts. The incantation is recited while placing the wand's tip over one's heart.",N/A
Anapneo[],N/A,N/A,N/A,N/A
Anteoculatia[],Dark charm,an-tee-oh-kyoo-LAY-chee-ah,Causes the target to grow antlers.[10],This spell was used to make Pansy Parkinson grow antlers in 1996.[11]
(Anti-Cheating Spell)[],Charm,N/A,Used to prevent cheating.,"These spells were used at Hogwarts School of Witchcraft and Wizardry on writing quills and parchment to prevent students from cheating during their final exams, as well as their O.W.L.s and N.E.W.T.s."
(Anti-Apparition Charm)[],Charm,N/A,Prevents Apparition within range of an area. Often used to keep out unwanted visitors from an area.,Mentioned that no one can Apparate into Hogwarts grounds due to this spell.
(Anti-Disapparition Jinx)[],Jinx,N/A,Prevents Disapparation within an area. It is often used to entrap an enemy in an area.,Used by Albus Dumbledore to trap some Death Eaters in the Department of Mysteries in 1996. Also used on Hogsmeade in 1998 by the Death Eaters to keep the Trio trapped there shortly before the Battle of Hogwarts. Also mentioned that nobody can Disapparate from Hogwarts; it is due to this jinx.
(Anti-intruder jinx)[],Jinx,N/A,Prevents intruders from entering an area. It is probably relatively similar to the Anti-Apparition Charm.,It was placed on Hogwarts School of Witchcraft and Wizardry in 1996 for extra protection during an invasion of Death Eaters.
(Antonin Dolohov's curse)[],Curse,N/A,An unknown curse that causes injuries that are capable of killing with enough power.,"Used by Antonin Dolohov during the Battle of the Department of Mysteries twice; Dolohov was under a Silencing Charm, and thus weakened the effects of this curse, saving Hermione from death, but incapacitated her and required her to take ten potions a day for some time."
Aparecium (Revealing Charm)[],N/A,N/A,N/A,N/A
Appare Vestigium (Tracking Spell)[],Charm,ah-PAR-ay ves-TEE-jee-um,"Reveals traces of magic, including footprints and track marks.",Newton Scamander used it to search for Porpentina Goldstein.
(Apparition)[],Transportation,N/A,Magically teleports the user to another location instantly. The destination is one that the primary user has been to or seen in some fashion previously. Can be used to Apparate two or more people at once if holding onto each other (i.e. Side-Along Apparition). No incantation required.,Used frequently by Wizardkind to teleport from place to place.
Aqua Eructo[],N/A,N/A,N/A,N/A
Arania Exumai[],N/A,N/A,N/A,N/A
Arresto Momentum (Slowing Charm)[],Charm,ah-REST-oh mo-MEN-tum,"Decreases the velocity of a moving target. Can be used on multiple targets, as well as on the caster themselves. It was invented by Daisy Pennifold in 1711 for use on the Quaffle in Quidditch.","Used wandlessly by Dumbledore to save one of his students from a fall in 1993; Hermione Granger used it, to little effect, in 1998 to cushion an otherwise deadly fall during their break-in at Gringotts."
(Arrow-shooting spell)[],Conjuration,N/A,Fires arrows from the caster's wand.,"The spell used to be used by Appleby Arrows supporters at Quidditch matches to show their support for their teams; however, the British and Irish Quidditch League banned the use of the spell at matches when referee Nugent Potts was pierced through the nose with a stray arrow in 1894."
Ascendio[],N/A,N/A,N/A,N/A
(Atmospheric Charm)[],Charm,N/A,Modified or created certain weather conditions.,N/A
